id	formula_id	formula	n_NO3	n_NO3_mono	n_NO3_bi	n_MeOH	CN	charge	geometry	isomerid	msmiles
29	10	1Zn_2NO3_2MeOH	2	1	1	2	5	0	5_trigonal_bipyramidal	7	[Zn+2]|C[OH:1]|C[OH:2]|[O-:3][N+](=O)[O-]|[O-:4][N+](=O)[O-:5]|5_trigonal_bipyramidal
30	10	1Zn_2NO3_2MeOH	2	1	1	2	5	0	5_trigonal_bipyramidal	8	[Zn+2]|C[OH:1]|[O-:2][N+](=O)[O-]|C[OH:3]|[O-:4][N+](=O)[O-:5]|5_trigonal_bipyramidal
31	10	1Zn_2NO3_2MeOH	2	1	1	2	5	0	5_trigonal_bipyramidal	9	[Zn+2]|C[OH:1]|[O-:2][N+](=O)[O-:5]|C[OH:3]|[O-:4][N+](=O)[O-]|5_trigonal_bipyramidal
32	10	1Zn_2NO3_2MeOH	2	1	1	2	5	0	5_trigonal_bipyramidal	10	[Zn+2]|[O-:1][N+](=O)[O-]|[O-:2][N+](=O)[O-:5]|C[OH:3]|C[OH:4]|5_trigonal_bipyramidal
33	11	1Zn_2NO3_3MeOH	2	1	1	3	6	0	6_octahedral	1	[Zn+2]|C[OH:1]|C[OH:2]|C[OH:3]|[O-:4][N+](=O)[O-:6]|[O-:5][N+](=O)[O-]|6_octahedral
34	11	1Zn_2NO3_3MeOH	2	1	1	3	6	0	6_octahedral	2	[Zn+2]|C[OH:1]|[O-:2][N+](=O)[O-]|C[OH:3]|[O-:4][N+](=O)[O-:6]|C[OH:5]|6_octahedral
35	10	1Zn_2NO3_2MeOH	2	2	0	2	4	0	4_tetrahedral	11	[Zn+2]|C[OH:1]|C[OH:2]|[O-:3][N+](=O)[O-]|[O-:4][N+](=O)[O-]|4_tetrahedral
36	11	1Zn_2NO3_3MeOH	2	2	0	3	5	0	5_square_pyramidal	3	[Zn+2]|C[OH:1]|C[OH:2]|C[OH:3]|[O-:4][N+](=O)[O-]|[O-:5][N+](=O)[O-]|5_square_pyramidal
37	11	1Zn_2NO3_3MeOH	2	2	0	3	5	0	5_square_pyramidal	4	[Zn+2]|C[OH:1]|C[OH:2]|[O-:3][N+](=O)[O-]|[O-:4][N+](=O)[O-]|C[OH:5]|5_square_pyramidal
38	11	1Zn_2NO3_3MeOH	2	2	0	3	5	0	5_square_pyramidal	5	[Zn+2]|C[OH:1]|[O-:2][N+](=O)[O-]|C[OH:3]|[O-:4][N+](=O)[O-]|C[OH:5]|5_square_pyramidal
39	11	1Zn_2NO3_3MeOH	2	2	0	3	5	0	5_trigonal_bipyramidal	6	[Zn+2]|C[OH:1]|C[OH:2]|C[OH:3]|[O-:4][N+](=O)[O-]|[O-:5][N+](=O)[O-]|5_trigonal_bipyramidal
