reaction_type,from_formula,to_formula,balanced_reaction,run0|BSSE=no,run8|BSSE=no,run41|BSSE=no,run102|BSSE=no,run102|BSSE=yes,run110|BSSE=no
"Exchange (-MeOH, +MImH)",1Zn_0MIm_5MImH_1MeOH,1Zn_0MIm_6MImH_0MeOH,1Zn_0MIm_5MImH_1MeOH + MImH -> 1Zn_0MIm_6MImH_0MeOH + MeOH,-2.6084000000000174,-14.187500000005002,-7.919000000023516,-7.795568994653877,-7.667939733655658,-9.851600000000417
"Exchange (-MeOH, +MImH)",1Zn_1MIm_0MImH_3MeOH,1Zn_1MIm_1MImH_2MeOH,1Zn_1MIm_0MImH_3MeOH + MImH -> 1Zn_1MIm_1MImH_2MeOH + MeOH,-16.887800000000027,-26.203399999999874,-23.623800000204938,-24.799742505012546,-24.502143205783796,-23.773599999999078
"Exchange (-MeOH, +MImH)",1Zn_1MIm_0MImH_4MeOH,1Zn_1MIm_1MImH_3MeOH,1Zn_1MIm_0MImH_4MeOH + MImH -> 1Zn_1MIm_1MImH_3MeOH + MeOH,-17.113400000000013,-24.822200000000066,-21.269200000009732,-21.950069719867315,-22.451025076850783,-21.79180000000133
"Exchange (-MeOH, +MImH)",1Zn_1MIm_0MImH_5MeOH,1Zn_1MIm_1MImH_4MeOH,1Zn_1MIm_0MImH_5MeOH + MImH -> 1Zn_1MIm_1MImH_4MeOH + MeOH,-17.360500000000002,-18.770599999997557,-15.780699999799253,-16.423904325056355,-16.045246327703353,-15.693900000000667
"Exchange (-MeOH, +MImH)",1Zn_1MIm_1MImH_2MeOH,1Zn_1MIm_2MImH_1MeOH,1Zn_1MIm_1MImH_2MeOH + MImH -> 1Zn_1MIm_2MImH_1MeOH + MeOH,-17.198399999999992,-23.925000000000637,-21.083099999959813,-21.902296250278596,-22.100120557297487,-22.757100000001174
"Exchange (-MeOH, +MImH)",1Zn_1MIm_1MImH_3MeOH,1Zn_1MIm_2MImH_2MeOH,1Zn_1MIm_1MImH_3MeOH + MImH -> 1Zn_1MIm_2MImH_2MeOH + MeOH,-14.336099999999988,-22.950500000000375,-18.040099999896483,-18.562950733758043,-18.99238223832799,-21.345299999999497
"Exchange (-MeOH, +MImH)",1Zn_1MIm_1MImH_4MeOH,1Zn_1MIm_2MImH_3MeOH,1Zn_1MIm_1MImH_4MeOH + MImH -> 1Zn_1MIm_2MImH_3MeOH + MeOH,-6.218500000000006,-16.026100000000497,-10.951300000102492,-11.029094964324031,-10.481046347238589,-10.129899999998543
"Exchange (-MeOH, +MImH)",1Zn_1MIm_2MImH_1MeOH,1Zn_1MIm_3MImH_0MeOH,1Zn_1MIm_2MImH_1MeOH + MImH -> 1Zn_1MIm_3MImH_0MeOH + MeOH,-17.891700000000014,-21.113700000003064,-17.354699999821605,-17.936325525224674,-17.721367496822495,-20.07020000000057
"Exchange (-MeOH, +MImH)",1Zn_1MIm_2MImH_2MeOH,1Zn_1MIm_3MImH_1MeOH,1Zn_1MIm_2MImH_2MeOH + MImH -> 1Zn_1MIm_3MImH_1MeOH + MeOH,-5.324999999999989,-4.490900000002057,-3.963800000055926,-3.5804753486881964,-2.50745421013562,-4.350700000001325
"Exchange (-MeOH, +MImH)",1Zn_1MIm_2MImH_3MeOH,1Zn_1MIm_3MImH_2MeOH,1Zn_1MIm_2MImH_3MeOH + MImH -> 1Zn_1MIm_3MImH_2MeOH + MeOH,-16.92700000000002,-13.513600000003407,-15.343499999988126,-14.876653324987274,-15.432274352933746,-16.147600000002512
"Exchange (-MeOH, +MImH)",1Zn_1MIm_3MImH_1MeOH,1Zn_1MIm_4MImH_0MeOH,1Zn_1MIm_3MImH_1MeOH + MImH -> 1Zn_1MIm_4MImH_0MeOH + MeOH,-19.26120000000003,-20.439499999998134,-16.146900000079768,-16.268813367409166,-17.593193078704644,-17.641000000001895
"Exchange (-MeOH, +MImH)",1Zn_1MIm_3MImH_2MeOH,1Zn_1MIm_4MImH_1MeOH,1Zn_1MIm_3MImH_2MeOH + MImH -> 1Zn_1MIm_4MImH_1MeOH + MeOH,-0.4492999999999938,-11.992400000000544,-2.156699999963166,-3.0536406344617717,-3.257213528791908,-5.349999999997181
"Exchange (-MeOH, +MImH)",1Zn_1MIm_4MImH_1MeOH,1Zn_1MIm_5MImH_0MeOH,1Zn_1MIm_4MImH_1MeOH + MImH -> 1Zn_1MIm_5MImH_0MeOH + MeOH,3.8108000000000857,-6.725400000000718,-1.568299999955343,-1.8099625080940314,-1.8156902106129564,-2.1365000000064356
"Exchange (-MeOH, +MImH)",1Zn_2MIm_0MImH_2MeOH,1Zn_2MIm_1MImH_1MeOH,1Zn_2MIm_0MImH_2MeOH + MImH -> 1Zn_2MIm_1MImH_1MeOH + MeOH,-11.27679999999998,-17.470300000002226,-15.083499999978812,-15.180352203955408,-14.787563383521046,-15.932800000000952
"Exchange (-MeOH, +MImH)",1Zn_2MIm_0MImH_3MeOH,1Zn_2MIm_1MImH_2MeOH,1Zn_2MIm_0MImH_3MeOH + MImH -> 1Zn_2MIm_1MImH_2MeOH + MeOH,-11.890300000000025,-14.14030000000048,-11.681200000020908,-11.62257886241423,-11.689499082334805,-10.994399999998222
"Exchange (-MeOH, +MImH)",1Zn_2MIm_0MImH_4MeOH,1Zn_2MIm_1MImH_3MeOH,1Zn_2MIm_0MImH_4MeOH + MImH -> 1Zn_2MIm_1MImH_3MeOH + MeOH,-0.9051000000000613,-7.249999999997726,-2.1335000000253785,-2.9868253301247023,-2.2948299409472384,-0.9835000000007312
"Exchange (-MeOH, +MImH)",1Zn_2MIm_1MImH_1MeOH,1Zn_2MIm_2MImH_0MeOH,1Zn_2MIm_1MImH_1MeOH + MImH -> 1Zn_2MIm_2MImH_0MeOH + MeOH,-15.82770000000005,-14.053699999998116,-12.513599999976577,-12.12153113988461,-11.867086669371929,-14.084500000003118
"Exchange (-MeOH, +MImH)",1Zn_2MIm_1MImH_2MeOH,1Zn_2MIm_2MImH_1MeOH,1Zn_2MIm_1MImH_2MeOH + MImH -> 1Zn_2MIm_2MImH_1MeOH + MeOH,-2.738999999999919,-0.042200000001230364,-2.0549000001337845,-0.9308131944271736,-0.9057582510286011,-1.4374999999986358
"Exchange (-MeOH, +MImH)",1Zn_2MIm_1MImH_3MeOH,1Zn_2MIm_2MImH_2MeOH,1Zn_2MIm_1MImH_3MeOH + MImH -> 1Zn_2MIm_2MImH_2MeOH + MeOH,-12.717199999999934,-9.764700000004723,-9.503899999923306,-8.438279545574915,-9.002928120724391,-10.66210000000001
"Exchange (-MeOH, +MImH)",1Zn_2MIm_2MImH_1MeOH,1Zn_2MIm_3MImH_0MeOH,1Zn_2MIm_2MImH_1MeOH + MImH -> 1Zn_2MIm_3MImH_0MeOH + MeOH,-14.985099999999989,-15.380499999997028,-9.926599999918835,-10.488059353723656,-10.30950250494061,-12.851000000001022
"Exchange (-MeOH, +MImH)",1Zn_3MIm_0MImH_1MeOH,1Zn_3MIm_1MImH_0MeOH,1Zn_3MIm_0MImH_1MeOH + MImH -> 1Zn_3MIm_1MImH_0MeOH + MeOH,-12.736499999999978,-9.335600000003524,-7.950599999894621,-7.734136834915262,-7.771698012773413,-8.221000000003642
monomer Deprotonation H,MImH_monomer,MImH2_monomer,MImH_monomer + H -> MImH2_monomer,91.949,-247.3376000000014,-238.07110000000102,-238.1807623046916,-238.1807623046916,-232.7568
monomer Deprotonation H,MIm_monomer,MImH_monomer,MIm_monomer + H -> MImH_monomer,-33.1147,-385.7585999999999,-358.0795999999973,-358.42651706168544,-358.42651706168544,-359.960899999999
monomer Deprotonation H,MeOH_monomer,MeOH2_monomer,MeOH_monomer + H -> MeOH2_monomer,19.3981,-193.03010000000015,-186.34120000000985,-186.86953360993357,-186.86953360993357,-179.7548999999998
