structure,n_imzw,variant,n_wat,contact_class,contact_type,contact_detail,contact_distance_A,contact_angle_deg,contact_angle_atoms,contact_matched,contact_status,run8|BSSE=no,run102|BSSE=no,run102|BSSE=yes,run110|BSSE=no,optimized|BSSE=no,optimized_minus_ref
IMZW1_1_WAT1,1,1,1,OH...N3,OH...N3,H1...N3,1.8532007123293472,177.80268310828183,O-H1-N3,OH...N3;OH...pi(C3),ok,-5.278600000000552,-7.134638345247367,-7.090544614940882,-6.723500000000513,-7.353416433502469,-0.26287181856158703
IMZW2_1_WAT1,2,1,1,OH...pi(C1),OH...pi,H1...C1,2.570446894668318,140.42154042529134,O-H1-C1,OH...pi(C1);OH...pi(C2);OH...pi(N9);OH...pi(C3);OH...pi(C3),ok,-3.6799999999993815,-3.7718970986024942,-3.7149982995179016,-3.680800000000545,-3.774630505420324,-0.05963220590242235
IMZW2_1_WAT2,2,1,2,OH...N3,OH...N3,H1...N3,1.908995920684484,162.0719641111805,O-H1-N3,OH...N3;OH...pi(C3);OH...pi(N9),ok,-4.58639999999923,-5.902086645306554,-5.859500398568343,-6.39660000000049,-6.896414147487308,-1.0369137489189644
IMZW3_1_WAT1,3,1,1,OH...N3,OH...N3,H1...N3,1.844911028539046,168.3329671580441,O-H1-N3,OH...N3;OH...pi(C1);OH...pi(C3);OH...pi(N9),ok,-4.819599999999809,-6.592548942193389,-6.5510450037545525,-6.465599999999995,-7.105554019056119,-0.5545090153015666
IMZW3_1_WAT2,3,1,2,CH...O(C1),CH...O,H4...O,3.1678019150945977,106.19230141396636,C1-H4-O,CH...O(C1),ok,-1.2067999999990209,-1.350965693272883,-1.3331476696766913,-1.6017999999990025,-1.8532075400057184,-0.5200598703290271
IMZW3_1_WAT3,3,1,3,OH...pi(C3),OH...pi,H1...C3,2.6052356015506546,153.68247453964423,O-H1-C3,OH...pi(C3);OH...pi(N9),ok,-3.016599999999926,-3.198866391321644,-3.144241372210672,-3.2637999999992644,-3.391846651445156,-0.24760527923448405
IMZW4_1_WAT1,4,1,1,OH...pi(C2),OH...pi,H2...C2,2.6285234198730283,128.89416985150223,O-H2-C2,OH...pi(C2);OH...pi(C1);OH...pi(N9);OH...pi(C3);OH...pi(N9),ok,-2.564100000000508,-1.7208274366566911,-1.6638158365094569,-1.3426999999996951,-1.4126855980580444,0.25113023845141247
IMZW4_1_WAT2,4,1,2,CH...O(C3),CH...O,H7...O,3.1348298931401364,95.68080538345303,C3-H7-O,CH...O(C3);OH...pi(C3);OH...pi(N9),ok,-2.813799999998992,-1.841067840839969,-1.8168130258854944,-2.278999999999087,-2.4317035040681625,-0.6148904781826681
IMZW4_1_WAT3,4,1,3,NH...O,NH...O,H6...O,2.040255321952132,143.06620610382845,N9-H6-O,NH...O;OH...pi(C3),ok,-3.781099999999242,-4.884432899707463,-4.839185817661928,-5.330599999999777,-5.209259105770954,-0.37007328810902607
IMZW4_1_WAT4,4,1,4,OH...pi(N9),OH...pi,H1...N9,3.070557307137745,100.85123309823848,O-H1-N9,OH...pi(N9);CH...O(C2),ok,0.0245000000004438,0.6261647764767986,0.6490371114923619,0.5650000000000546,0.4123773890244525,-0.2366597224679094
IMZW5_1_WAT1,5,1,1,NH...O,NH...O,H6...O,1.9336300430496007,149.8937763830087,N9-H6-O,NH...O;OH...pi(C3);CH...O(C3),ok,-3.614999999998872,-3.9407091206521727,-3.875050291826483,-4.692499999999654,-4.553473239044718,-0.6784229472182348
IMZW5_1_WAT2,5,1,2,OH...pi(C3),OH...pi,H1...C3,3.158527078055688,98.15414629662314,O-H1-C3,OH...pi(C3);CH...O(C3);OH...pi(N9);OH...pi(C3),ok,-2.873800000000301,-1.8273900695785412,-1.7952964444993995,-2.596299999999701,-2.6601860414210843,-0.8648895969216848
IMZW5_1_WAT3,5,1,3,OH...pi(C2),OH...pi,H2...C2,2.605298947163261,148.5409919885516,O-H2-C2,OH...pi(C2);OH...pi(C1);OH...pi(N9);OH...pi(C3);OH...pi(C3),ok,-3.625199999999495,-3.5944459371676203,-3.532646345585817,-3.503799999999046,-3.5857144484384404,-0.05306810285262342
IMZW5_1_WAT4,5,1,4,OH...N3,OH...N3,H1...N3,1.909166221635508,155.29811159148,O-H1-N3,OH...N3;OH...pi(C3);OH...pi(N9),ok,-4.10990000000038,-5.549042182770791,-5.49856867158087,-5.887199999999666,-6.418334445746134,-0.9197657741652643
IMZW5_1_WAT5,5,1,5,CH...O(C3),CH...O,H7...O,2.8326759956384,126.88201965247414,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-2.1233000000002,-2.0945615158998407,-2.06423366110539,-2.420300000000225,-2.5946525287534765,-0.5304188676480863
IMZW6_1_WAT1,6,1,1,OH...N3,OH...N3,H2...N3,2.0053116916549407,149.77156002021704,O-H2-N3,OH...N3;OH...pi(C3);OH...pi(N9),ok,-3.840299999998933,-5.354212393664056,-5.310838453762699,-5.550599999999122,-6.019902388016775,-0.7090639342540763
IMZW6_1_WAT2,6,1,2,OH...pi(C1),OH...pi,H1...C1,2.464257763499184,146.90926550696025,O-H1-C1,OH...pi(C1);OH...pi(C2);OH...pi(N9);OH...pi(C3);OH...pi(C3),ok,-3.6341999999995096,-3.534291215444682,-3.4746711456100456,-3.3184000000005653,-3.379812463004113,0.09485868260593255
IMZW6_1_WAT3,6,1,3,CH...O(C3),CH...O,H7...O,2.664041864751566,137.05749266382014,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-2.0608000000002,-1.5253482154221274,-1.5004914331366308,-1.97840000000042,-2.033487246846955,-0.5329958137103241
IMZW6_1_WAT4,6,1,4,NH...O,NH...O,H6...O,1.9078685189776572,158.1872518348434,N9-H6-O,NH...O;OH...pi(C3),ok,-3.321899999999914,-3.270302219170844,-3.205808919563424,-3.962400000000798,-3.8268060984110654,-0.6209971788476416
IMZW6_1_WAT5,6,1,5,CH...O(C3),CH...O,H7...O,2.940458845056669,111.9209409627408,C3-H7-O,CH...O(C3);OH...pi(C3);OH...pi(N9);OH...pi(N9),ok,-2.236200000000281,-1.286339615151519,-1.257300040422706,-1.6096000000002275,-1.7833135267541604,-0.5260134863314545
