Phase,Run,Species,disp1,disp2,label1,label2,E1,E2,dE_stretch
SP_init,run7,H3O,0.2,0.3,0.2,0.3,-3181.5705,-3172.2458,9.324699999999666
SP_init,run7,H3O,0.3,0.4,0.3,0.4,-3172.2458,-3162.3149,9.930900000000292
SP_init,run7,H3O,0.4,0.5,0.4,0.5,-3162.3149,-3152.3725,9.942399999999907
SP_init,run7,H3O,0.5,0.6,0.5,0.6,-3152.3725,-3142.8563,9.516200000000026
SP_init,run7,MImH,-0.2,-0.1,m0.2,m0.1,-10930.709,-10956.3566,-25.64759999999842
SP_init,run7,MImH,-0.1,0.0,m0.1,0.0,-10956.3566,-10961.7088,-5.352200000001176
SP_init,run7,MImH,0.0,0.1,0.0,0.1,-10961.7088,-10957.5237,4.1851000000006024
SP_init,run7,MImH,0.1,0.2,0.1,0.2,-10957.5237,-10948.988,8.53570000000036
SP_init,run7,MImH,0.2,0.3,0.2,0.3,-10948.988,-10938.7703,10.21769999999924
SP_init,run7,MImH,0.3,0.4,0.3,0.4,-10938.7703,-10928.2232,10.547099999999773
SP_init,run7,MImH,0.4,0.5,0.4,0.5,-10928.2232,-10917.709,10.514199999999619
SP_init,run7,MImH,0.5,0.6,0.5,0.6,-10917.709,-10907.7819,9.927100000000792
SP_init,run7,MeOH,-0.2,-0.1,m0.2,m0.1,-5127.4565,-5155.8695,-28.412999999999556
SP_init,run7,MeOH,-0.1,0.0,m0.1,0.0,-5155.8695,-5161.6304,-5.76090000000022
SP_init,run7,MeOH,0.0,0.1,0.0,0.1,-5161.6304,-5157.1787,4.451699999999619
SP_init,run7,MeOH,0.1,0.2,0.1,0.2,-5157.1787,-5148.1866,8.992100000000391
SP_init,run7,MeOH,0.2,0.3,0.2,0.3,-5148.1866,-5137.4474,10.739199999999983
SP_init,run7,MeOH,0.3,0.4,0.3,0.4,-5137.4474,-5125.994,11.453400000000329
SP_init,run7,MeOH,0.4,0.5,0.4,0.5,-5125.994,-5114.6091,11.384900000000016
SP_init,run7,MeOH,0.5,0.6,0.5,0.6,-5114.6091,-5103.6835,10.925599999999577
SP_init,run7,Wat,-0.2,-0.1,m0.2,m0.1,-3147.7575,-3175.9676,-28.210099999999784
SP_init,run7,Wat,-0.1,0.0,m0.1,0.0,-3175.9676,-3181.6033,-5.63570000000027
SP_init,run7,Wat,0.0,0.1,0.0,0.1,-3181.6033,-3176.819,4.784300000000258
SP_init,run7,Wat,0.1,0.2,0.1,0.2,-3176.819,-3167.2997,9.51929999999993
SP_init,run7,Wat,0.2,0.3,0.2,0.3,-3167.2997,-3155.8225,11.477199999999812
SP_init,run7,Wat,0.3,0.4,0.3,0.4,-3155.8225,-3143.5767,12.245800000000145
SP_init,run7,Wat,0.4,0.5,0.4,0.5,-3143.5767,-3131.2126,12.364100000000235
SP_init,run7,Wat,0.5,0.6,0.5,0.6,-3131.2126,-3119.354,11.858600000000024
SP_init,run8,H3O,-0.2,-0.1,m0.2,m0.1,-2519.238,-2540.552,-21.314000000000306
SP_init,run8,H3O,-0.1,0.0,m0.1,0.0,-2540.552,-2544.0986,-3.546599999999671
SP_init,run8,H3O,0.0,0.1,0.0,0.1,-2544.0986,-2538.146,5.95259999999962
SP_init,run8,H3O,0.1,0.2,0.1,0.2,-2538.146,-2527.6573,10.488700000000335
SP_init,run8,H3O,0.2,0.3,0.2,0.3,-2527.6573,-2515.682,11.975300000000061
SP_init,run8,H3O,0.3,0.4,0.3,0.4,-2515.682,-2503.865,11.817000000000007
SP_init,run8,H3O,0.4,0.5,0.4,0.5,-2503.865,-2492.9001,10.964899999999943
SP_init,run8,H3O,0.5,0.6,0.5,0.6,-2492.9001,-2482.838,10.062099999999646
SP_init,run8,MImH,-0.2,-0.1,m0.2,m0.1,-8682.7062,-8703.0915,-20.385299999999916
SP_init,run8,MImH,-0.1,0.0,m0.1,0.0,-8703.0915,-8708.0265,-4.934999999999491
SP_init,run8,MImH,0.0,0.1,0.0,0.1,-8708.0265,-8703.8729,4.153599999999642
SP_init,run8,MImH,0.1,0.2,0.1,0.2,-8703.8729,-8694.0354,9.837499999999636
SP_init,run8,MImH,0.2,0.3,0.2,0.3,-8694.0354,-8681.3033,12.732100000001083
SP_init,run8,MImH,0.3,0.4,0.3,0.4,-8681.3033,-8667.9165,13.386800000000221
SP_init,run8,MImH,0.4,0.5,0.4,0.5,-8667.9165,-8655.1417,12.774799999999232
SP_init,run8,MImH,0.5,0.6,0.5,0.6,-8655.1417,-8643.6943,11.447400000000926
SP_init,run8,MeOH,-0.2,-0.1,m0.2,m0.1,-4026.0702,-4052.3667,-26.296499999999924
SP_init,run8,MeOH,-0.1,0.0,m0.1,0.0,-4052.3667,-4057.9061,-5.539400000000114
SP_init,run8,MeOH,0.0,0.1,0.0,0.1,-4057.9061,-4052.7295,5.176600000000235
SP_init,run8,MeOH,0.1,0.2,0.1,0.2,-4052.7295,-4042.2651,10.464399999999841
SP_init,run8,MeOH,0.2,0.3,0.2,0.3,-4042.2651,-4030.0889,12.17619999999988
SP_init,run8,MeOH,0.3,0.4,0.3,0.4,-4030.0889,-4017.8873,12.201600000000326
SP_init,run8,MeOH,0.4,0.5,0.4,0.5,-4017.8873,-4006.5251,11.36220000000003
SP_init,run8,MeOH,0.5,0.6,0.5,0.6,-4006.5251,-3995.9791,10.545999999999822
SP_init,run8,Wat,-0.2,-0.1,m0.2,m0.1,-2486.4761,-2511.6748,-25.198699999999917
SP_init,run8,Wat,-0.1,0.0,m0.1,0.0,-2511.6748,-2516.4461,-4.771300000000338
SP_init,run8,Wat,0.0,0.1,0.0,0.1,-2516.4461,-2510.4821,5.963999999999942
SP_init,run8,Wat,0.1,0.2,0.1,0.2,-2510.4821,-2499.1334,11.348700000000008
SP_init,run8,Wat,0.2,0.3,0.2,0.3,-2499.1334,-2485.8988,13.234600000000228
SP_init,run8,Wat,0.3,0.4,0.3,0.4,-2485.8988,-2472.5672,13.33159999999998
SP_init,run8,Wat,0.4,0.5,0.4,0.5,-2472.5672,-2459.888,12.679200000000037
SP_init,run8,Wat,0.5,0.6,0.5,0.6,-2459.888,-2448.0536,11.834399999999732
