Phase,Run,Method,Monomer,dE_0.0_0.1,dE_0.1_0.2,dE_0.2_0.3,dE_0.3_0.4,dE_0.4_0.5,dE_0.5_0.6,dE_m0.1_0.0,dE_m0.2_m0.1
SP_init,run16,PBE-D3(BJ) def2-TZVPPD,H3O,4.049143767442729,9.118240980955306,11.234846136001579,11.809060949934064,11.543197861457884,10.811584586990648,-6.435822453320725,-27.02179028010869
SP_init,run16,PBE-D3(BJ) def2-TZVPPD,MImH,4.111233174888184,9.422941211203579,11.780802029039478,12.374026852165116,12.193584323511459,11.569379019463668,-6.319852290616836,-25.83687802636996
SP_init,run16,PBE-D3(BJ) def2-TZVPPD,MeOH,4.471322830606368,10.001344496529782,12.202862006553914,12.717559599492233,12.392288188581006,11.557500143375364,-7.167148561260547,-30.24326704822306
SP_init,run16,PBE-D3(BJ) def2-TZVPPD,Wat,4.566482800604717,10.308422398462426,12.75796742446255,13.467511383387318,13.263157156347006,12.541464177258604,-7.244992479485518,-30.4222851585655
SP_init,run23,B3LYP def2-TZVPPD D3BJ AutoAux,H3O,4.749599999995553,9.756600000000617,11.795200000000477,12.344100000002072,12.097000000001572,11.315699999999197,-5.686799999995856,-26.123600000006263
SP_init,run23,B3LYP def2-TZVPPD D3BJ AutoAux,MImH,4.897299999982351,10.266300000017509,12.639100000000326,13.231299999984913,13.184800000017276,12.605799999990268,-5.42149999999674,-25.201600000000326
SP_init,run23,B3LYP def2-TZVPPD D3BJ AutoAux,MeOH,5.434899999992922,10.965200000006007,12.992899999997462,13.553899999998976,13.24199999999837,12.428899999998976,-6.127699999997276,-29.283599999995204
SP_init,run23,B3LYP def2-TZVPPD D3BJ AutoAux,Wat,5.431799999998475,11.175400000000081,13.496200000001409,14.170099999995728,14.039000000004307,13.221899999996822,-6.342099999994389,-29.370800000004238
SP_init,run24,DLPNO-CCSD(T) RIJCOSX def2-TZVPPD def2-TZVPPD/C AutoAux,H3O,5.147207176938537,10.172344494749268,12.272547123167897,12.822922855957586,12.531209521599521,11.740593354821613,-5.324948119763576,-25.885212781977316
SP_init,run24,DLPNO-CCSD(T) RIJCOSX def2-TZVPPD def2-TZVPPD/C AutoAux,MImH,4.989053152938141,10.38434474839596,12.81235273432685,13.543645385972923,13.367355821159435,12.475172292994102,-5.480891134182457,-25.480977642117068
SP_init,run24,DLPNO-CCSD(T) RIJCOSX def2-TZVPPD def2-TZVPPD/C AutoAux,MeOH,5.594065708297421,11.101620413450291,13.109306369558908,13.447681010948145,12.692995024495758,11.446639033543761,-6.017188446567161,-29.34993846595171
SP_init,run24,DLPNO-CCSD(T) RIJCOSX def2-TZVPPD def2-TZVPPD/C AutoAux,Wat,5.662805517655215,11.34368467736931,13.552604146731028,14.010822894997546,13.495255969923164,12.251447786657081,-6.126713977151667,-29.313917595463863
SP_init,run28,"mDFTB3D3_refit/_repopt/run28 (Fit OH,ON -0.2A to +0.6A)",H3O,5.7741000000000895,10.627100000000155,12.629599999999755,12.856900000000223,11.986699999999928,10.6875,-4.448499999999967,-24.507800000000316
SP_init,run28,"mDFTB3D3_refit/_repopt/run28 (Fit OH,ON -0.2A to +0.6A)",MImH,4.986700000001292,10.386899999999514,12.831500000000233,13.492099999999482,13.418100000000777,12.581500000000233,-5.481499999999869,-25.477700000001278
SP_init,run28,"mDFTB3D3_refit/_repopt/run28 (Fit OH,ON -0.2A to +0.6A)",MeOH,4.742799999999988,10.321899999999914,12.561599999999999,13.05659999999989,12.325800000000072,11.192099999999755,-6.994899999999689,-30.014100000000326
SP_init,run28,"mDFTB3D3_refit/_repopt/run28 (Fit OH,ON -0.2A to +0.6A)",Wat,5.680299999999988,11.32629999999972,13.714300000000094,14.243199999999888,13.679900000000089,12.48090000000002,-6.06230000000005,-28.70659999999998
SP_init,run33,"mDFTB3D3_refit/_repopt/run36 (Fit OH,ON -0.1A and +0.1A, O-H cutoff 1.7A)",H3O,5.8530000000000655,8.751800000000003,8.162899999999809,8.330699999999979,8.85360000000037,9.229899999999816,-4.783899999999903,-15.84979999999996
SP_init,run33,"mDFTB3D3_refit/_repopt/run36 (Fit OH,ON -0.1A and +0.1A, O-H cutoff 1.7A)",MImH,4.988100000000486,10.497299999999086,12.485800000000381,12.364199999999983,11.689899999999398,10.675100000000384,-5.4812999999994645,-22.933500000001004
SP_init,run33,"mDFTB3D3_refit/_repopt/run36 (Fit OH,ON -0.1A and +0.1A, O-H cutoff 1.7A)",MeOH,4.638300000000072,9.118599999999788,8.371500000000196,8.392199999999775,8.88610000000017,9.446300000000065,-6.741999999999734,-17.917699999999968
SP_init,run33,"mDFTB3D3_refit/_repopt/run36 (Fit OH,ON -0.1A and +0.1A, O-H cutoff 1.7A)",Wat,5.585700000000088,10.109300000000076,9.504999999999654,9.595600000000104,10.231200000000172,10.752799999999752,-5.822200000000066,-16.778800000000047
SP_init,run34,"mDFTB3D3_refit/_repopt/run34 (Fit OH,ON -0.1A and +0.1A)",H3O,5.744599999999991,10.331300000000283,10.854399999999714,8.984200000000328,6.256199999999808,4.247400000000198,-4.5142000000000735,-22.039800000000014
SP_init,run34,"mDFTB3D3_refit/_repopt/run34 (Fit OH,ON -0.1A and +0.1A)",MImH,4.988300000000891,10.552599999999074,12.584100000000035,12.42660000000069,11.654899999999543,10.655800000000454,-5.481200000000172,-23.350099999999657
SP_init,run34,"mDFTB3D3_refit/_repopt/run34 (Fit OH,ON -0.1A and +0.1A)",MeOH,4.657999999999902,10.171699999999873,11.13740000000007,9.580600000000231,6.905499999999847,4.753900000000158,-6.880999999999858,-26.50540000000001
SP_init,run34,"mDFTB3D3_refit/_repopt/run34 (Fit OH,ON -0.1A and +0.1A)",Wat,5.598199999999906,11.173600000000079,12.276699999999892,10.767199999999775,8.218499999999949,6.060500000000047,-5.952199999999721,-25.25
SP_init,run35,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux TIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,H3O,4.88821154525067,9.984373470171704,12.18337295663514,12.779565009150247,12.571551544067916,11.882570559188025,-5.561645494075492,-26.057559172055335
SP_init,run35,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux TIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,MImH,5.420777043706039,10.856817192398012,13.398261103866389,14.303585432062391,14.204025948652998,13.676219193352154,-5.10217687804834,-24.710556481644744
SP_init,run35,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux TIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,MeOH,5.851672613207484,11.53630368282029,14.031780827906914,14.777751372297644,14.579085073739407,13.883195936854463,-5.823502614774043,-28.869594260730082
SP_init,run35,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux TIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,Wat,5.858440521886223,11.71575752946228,14.372609739810287,15.270413762940734,15.196196346223587,14.59572652271163,-5.962684544305375,-29.081525992238312
SP_init,run7,GFN2-xTB,H3O,3.6467999999999847,7.654200000000401,9.324699999999666,9.930900000000292,9.942399999999907,9.516200000000026,-5.222000000000207,-24.501800000000003
SP_init,run7,GFN2-xTB,MImH,4.1851000000006024,8.53570000000036,10.21769999999924,10.547099999999773,10.514199999999619,9.927100000000792,-5.352200000001176,-25.64759999999842
SP_init,run7,GFN2-xTB,MeOH,4.451699999999619,8.992100000000391,10.739199999999983,11.453400000000329,11.384900000000016,10.925599999999577,-5.76090000000022,-28.412999999999556
SP_init,run7,GFN2-xTB,Wat,4.784300000000258,9.51929999999993,11.477199999999812,12.245800000000145,12.364100000000235,11.858600000000024,-5.63570000000027,-28.210099999999784
SP_init,run8,mDFTB3D3/3ob_prime,H3O,5.95259999999962,10.488700000000335,11.975300000000061,11.817000000000007,10.964899999999943,10.062099999999646,-3.546599999999671,-21.314000000000306
SP_init,run8,mDFTB3D3/3ob_prime,MImH,4.153599999999642,9.837499999999636,12.732100000001083,13.386800000000221,12.774799999999232,11.447400000000926,-4.934999999999491,-20.385299999999916
SP_init,run8,mDFTB3D3/3ob_prime,MeOH,5.176600000000235,10.464399999999841,12.17619999999988,12.201600000000326,11.36220000000003,10.545999999999822,-5.539400000000114,-26.296499999999924
SP_init,run8,mDFTB3D3/3ob_prime,Wat,5.963999999999942,11.348700000000008,13.234600000000228,13.33159999999998,12.679200000000037,11.834399999999732,-4.771300000000338,-25.198699999999917
