structure,n_imzw,variant,n_wat,contact_class,contact_type,contact_detail,contact_distance_A,contact_angle_deg,contact_angle_atoms,contact_matched,contact_status,run0|BSSE=no,run8|BSSE=no,run102|BSSE=no,run102|BSSE=yes,run110|BSSE=no,run110.mmsolvent|BSSE=no
IMZW7_1_WAT1,7,1,1,NH...O,NH...O,H6...O,1.8854405637585079,170.10021349781798,N9-H6-O,NH...O,ok,-4.2998,-3.083599999999933,-3.0227635795308743,-2.964502679533325,-3.828799999999319,-4.3301000000001295
IMZW7_1_WAT2,7,1,2,CH...O(C3),CH...O,H7...O,3.151879932663838,92.29413379670524,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-4.4025,-1.2943000000013853,-1.6115135882573668,-1.5877129225991666,-2.183999999999287,-4.6041000000004715
IMZW7_1_WAT3,7,1,3,OH...N3,OH...N3,H2...N3,1.842089490785396,164.97658538838363,O-H2-N3,OH...N3;OH...pi(C3);OH...pi(N9),ok,-7.5088,-4.54870000000119,-5.8404053743579425,-5.781631879450288,-5.808499999999185,-6.522500000000036
IMZW7_1_WAT4,7,1,4,CH...O(C3),CH...O,H7...O,3.061693172678151,111.27445013001314,C3-H7-O,CH...O(C3);OH...pi(C3);OH...pi(N9),ok,-2.418,-2.1388999999999214,-1.075824463070603,-1.0469666496210266,-1.4699000000000524,-3.2143000000005486
IMZW7_1_WAT5,7,1,5,OH...pi(N9),OH...pi,H2...N9,3.2191963801267236,97.06050490844288,O-H2-N9,OH...pi(N9),ok,-5.7324,-3.1327000000001135,-2.398667102534091,-2.3755850971501786,-3.199899999999616,-6.025200000000041
IMZW7_1_WAT6,7,1,6,OH...pi(C1),OH...pi,H2...C1,2.526980653743317,152.78202213358557,O-H2-C1,OH...pi(C1);OH...pi(C2);OH...pi(N9);OH...pi(C3);OH...pi(C3),ok,-5.242,-3.7409999999999854,-3.427591789251892,-3.363016764051281,-3.3966999999993277,-6.072299999999814
IMZW7_1_WAT7,7,1,7,CH...O(C3),CH...O,H7...O,2.867199583066899,126.16216407440145,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-3.3021000000000003,-2.066400000001522,-1.5607023056363687,-1.5324665272783022,-2.010599999999613,-3.703700000000026
IMZW8_1_WAT1,8,1,1,CH...O(C3),CH...O,H7...O,3.1270128107978707,111.70501671216958,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-2.289,-0.7319000000006781,-0.45351214543916285,-0.4082415750599466,-0.7803999999996449,-2.80199999999968
IMZW8_1_WAT2,8,1,2,CH...O(C3),CH...O,H7...O,3.00695569122942,158.5508550839731,C3-H7-O,CH...O(C3),ok,-2.5382000000000002,-0.4286000000010972,0.34056807690649293,0.3565856684872415,0.4375,-3.2502999999996973
IMZW8_1_WAT3,8,1,3,CH...O(C3),CH...O,H7...O,2.793464771822441,111.25960562789872,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-3.0993,-1.359200000000783,-1.0294744095008355,-0.9820416831062175,-1.8279999999995198,-3.1873999999997977
IMZW8_1_WAT4,8,1,4,OH...pi(N9),OH...pi,H1...N9,3.0778106900369946,120.87615743740338,O-H1-N9,OH...pi(N9);CH...O(C3);OH...pi(C3);OH...pi(C3);OH...pi(N9),ok,-1.7628,-0.42300000000068394,0.9730185047374107,1.0002013956545852,1.0933999999997468,-3.1473000000005413
IMZW8_1_WAT5,8,1,5,NH...O,NH...O,H6...O,2.0202393510675907,137.6553932957754,N9-H6-O,NH...O;CH...O(C3);OH...pi(C3),ok,-8.3271,-3.3492000000005646,-4.50763736985391,-4.445593608659692,-4.966199999998935,-7.457400000000234
IMZW8_1_WAT6,8,1,6,CH...O(C3),CH...O,H7...O,2.6797492930158597,138.8540480822812,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-2.8153,-1.3863000000001193,-1.0461236722185276,-1.0061392222123686,-1.6006999999990512,-3.160700000000361
IMZW8_1_WAT7,8,1,7,noHbond-close(HH-H7),noHbond-close,H1...H7,2.9674853778824253,,,noHbond-close(HH-H7),ok,-1.6240000000000006,-0.22580000000016298,-0.638550930598285,-0.6142453978245612,-0.8490999999994528,-2.0546999999996842
IMZW8_1_WAT8,8,1,8,OH...N3,OH...N3,H2...N3,1.8143927835873908,159.4323172182269,O-H2-N3,OH...N3;OH...pi(C3);CH...O(C3);OH...pi(N9),ok,-10.6432,-4.5108000000000175,-6.89581606068532,-6.852989304607036,-6.435599999998885,-8.949999999999818
IMZW9_1_WAT1,9,1,1,CH...O(C3),CH...O,H7...O,3.2636759055901985,149.90620253062946,C3-H7-O,CH...O(C3),ok,-1.9761000000000002,-0.7525000000005093,0.16595241051982157,0.19176701258402318,-0.2025999999987107,-2.6666000000004715
IMZW9_1_WAT2,9,1,2,CH...O(C3),CH...O,H7...O,2.71588409482695,119.98719214026694,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-4.8751,-1.9351000000006024,-1.5928895532269962,-1.5675998182559852,-2.581000000000131,-4.8486000000002605
IMZW9_1_WAT3,9,1,3,OH...pi(C3),OH...pi,H1...C3,2.8705989090386694,109.24628327196292,O-H1-C3,OH...pi(C3);OH...pi(C3);OH...pi(N9);OH...pi(N9),ok,-0.8388,-2.1748999999999796,-0.21019818197237328,-0.15123028712696396,-0.32369999999900756,-1.7591000000002168
IMZW9_1_WAT4,9,1,4,NH...O,NH...O,H6...O,1.9383797394122753,155.4210585188156,N9-H6-O,NH...O;OH...pi(C3);CH...O(C3),ok,-3.1518,-3.0812999999998283,-3.0883840593742207,-3.0261837954458315,-3.6592000000000553,-3.155499999999847
IMZW9_1_WAT5,9,1,5,OH...N3,OH...N3,H1...N3,1.8030635404491435,160.18418617302032,O-H1-N3,OH...N3;OH...pi(C3);CH...O(C3);OH...pi(N9),ok,-10.4714,-4.493000000000393,-6.679025069606723,-6.632741648762021,-6.3091999999996915,-8.808899999999994
IMZW9_1_WAT6,9,1,6,CH...O(C3),CH...O,H7...O,3.2843862377872064,109.23822588923379,C3-H7-O,CH...O(C3);OH...pi(C3);OH...pi(C3),ok,-5.8226,-1.9673000000002503,-2.04584671423072,-2.0238247197994497,-2.292299999999159,-6.1369000000004235
IMZW9_1_WAT7,9,1,7,CH...O(C3),CH...O,H7...O,2.746250390465152,133.77637861551437,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-2.1842,-1.7608000000000175,-1.7096172466117423,-1.6784349529480096,-2.1418999999987136,-2.3914999999997235
IMZW9_1_WAT8,9,1,8,noHbond-close(HH-H7),noHbond-close,H1...H7,3.3430110710930947,,,noHbond-close(HH-H7),ok,-4.0606,-0.940599999999904,-0.257492092641769,-0.2472369826573413,-0.8017999999992753,-4.486200000000281
IMZW9_1_WAT9,9,1,9,CH...O(C3),CH...O,H7...O,3.1819579286492776,103.20455263456473,C3-H7-O,CH...O(C3),ok,-4.235,-1.2944000000006781,-0.8243260378367268,-0.8024659333168529,-1.5735999999997148,-4.451399999999921
IMZW10_1_WAT1,10,1,1,CH...O(C3),CH...O,H7...O,2.8713002930606195,121.70516090673252,C3-H7-O,CH...O(C3);OH...pi(C3);OH...pi(C3),ok,-5.1014,-1.8350000000009459,-1.700991038873326,-1.6550008312624414,-1.769399999999223,-5.586699999999837
IMZW10_1_WAT2,10,1,2,CH...O(C3),CH...O,H7...O,2.6218118959736603,173.07365207299696,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-2.1138,-1.4733000000014727,-0.982603388139978,-0.9415708906308282,-1.4003999999986263,-2.478900000000067
IMZW10_1_WAT3,10,1,3,noHbond-close(H-N3),noHbond-close,H2...N3,3.407442312649622,,,noHbond-close(H-N3),ok,-0.8777999999999997,-0.7998999999999796,-0.720094784599496,-0.7017840474436525,-0.9357999999992899,-1.3355000000001382
IMZW10_1_WAT4,10,1,4,OH...N3,OH...N3,H2...N3,1.7931735476935857,164.18443536227193,O-H2-N3,OH...N3;OH...pi(C3);OH...pi(N9),ok,-10.6723,-4.63550000000032,-6.480966827104567,-6.437108650046866,-6.149599999998827,-9.072900000000118
IMZW10_1_WAT5,10,1,5,NH...O,NH...O,H6...O,1.843424201221466,167.04225091343233,N9-H6-O,NH...O;OH...pi(C3),ok,-5.6226,-2.9893000000010943,-3.6688397261314094,-3.6087851047632284,-4.381199999999808,-4.960200000000441
IMZW10_1_WAT6,10,1,6,OH...pi(C1),OH...pi,H2...C1,2.426489833205365,155.43253718726578,O-H2-C1,OH...pi(C1);OH...pi(C2);OH...pi(N9);OH...pi(C3),ok,-5.5788,-3.2730000000010477,-3.1956635829410516,-3.12829907858395,-3.158499999999549,-6.18080000000009
IMZW10_1_WAT7,10,1,7,far,far,H2...H7,5.576889129510556,,,far,ok,-0.2599,-0.8875000000007276,-0.017271427699597552,-0.002899181010434404,-0.46860000000015134,-0.777299999999741
IMZW10_1_WAT8,10,1,8,far,far,H1...H7,4.5379558287780855,,,far,ok,-2.104,-0.4677000000010594,0.5558460673491936,0.5603553811670281,0.06630000000041036,-2.7770000000000437
IMZW10_1_WAT9,10,1,9,OH...pi(C3),OH...pi,H2...C3,3.0078747633776244,100.08988190430081,O-H2-C3,OH...pi(C3);CH...O(C3);OH...pi(N9),ok,-3.7960000000000003,-2.8104000000002998,-1.5933321237389464,-1.5699375307594892,-1.9758999999994558,-3.894100000000435
IMZW10_1_WAT10,10,1,10,CH...O(C3),CH...O,H7...O,2.923520201505199,124.66214308293668,C3-H7-O,CH...O(C3);OH...pi(C3);OH...pi(C3);OH...pi(N9),ok,-2.4054,-2.1084000000009837,-1.0487951538525522,-1.0042522083385848,-1.570399999998699,-3.0443999999997686
IMZW64_WAT9,64,0,9,OH...N3,OH...N3,H2...N3,2.064927158416974,160.83179074455145,O-H2-N3,OH...N3;OH...pi(C1);OH...pi(C3);CH...O(C1),ok,-7.5887,-4.701399999999921,-4.9981369826127775,-4.931276476272615,-5.286199999998644,-7.1766999999999825
IMZW64_WAT11,64,0,11,OH...pi(N9),OH...pi,H1...N9,3.6584779557195644,117.3323393441245,O-H1-N9,OH...pi(N9);OH...pi(N9),ok,-0.5878000000000005,-1.2445000000006985,0.5107396007224452,0.5333772340381984,0.14420000000063737,-1.569999999999709
IMZW64_WAT21,64,0,21,noHbond-close(H-N3),noHbond-close,H2...N3,3.396772525195645,,,noHbond-close(H-N3),ok,-4.468,-0.7680000000000291,-0.0729024869215209,-0.054824215098051354,-0.5985000000000582,-5.039999999999964
IMZW64_WAT22,64,0,22,OH...pi(C3),OH...pi,H2...C3,2.99888204931271,105.78832560601663,O-H2-C3,OH...pi(C3);CH...O(C3);OH...pi(N9),ok,0.3913000000000002,-0.0136000000002241,0.9684858481632546,1.0002054756914731,0.3872000000010303,-0.5474999999996726
IMZW64_WAT29,64,0,29,OH...pi(C2),OH...pi,H1...C2,2.3952982297615883,151.92875854855134,O-H1-C2,OH...pi(C2);OH...pi(C1);OH...pi(N9);OH...pi(C3);OH...pi(C3);OH...pi(N9),ok,-5.0151,-2.9927999999999884,-1.0308440556109417,-0.9646064032858703,-0.9781999999995605,-6.068100000000413
IMZW64_WAT44,64,0,44,NH...O,NH...O,H6...O,1.6817911484943664,174.27742727410848,N9-H6-O,NH...O,ok,-7.4285,-1.2142000000003463,-3.240199571242556,-3.1803611607465427,-3.8658999999988737,-6.646499999999833
IMZW64_WAT49,64,0,49,CH...O(C3),CH...O,H7...O,2.480067907397094,156.6112229963115,C3-H7-O,CH...O(C3),ok,-1.0498000000000003,-0.6753000000007887,1.1743522726465017,1.2040085002954584,0.29290000000037253,-2.0249000000003434
IMZW64_WAT50,64,0,50,OH...N3,OH...N3,H1...N3,1.9879252624002244,157.46006316486228,O-H1-N3,OH...N3;OH...pi(C3);CH...O(C3);OH...pi(N9),ok,-7.9112,-3.888300000000527,-3.60678432523855,-3.541449673473835,-3.958199999999124,-7.718899999999849
IMZW64_WAT51,64,0,51,CH...O(C3),CH...O,H7...O,2.9100791971967017,139.9666320527888,C3-H7-O,CH...O(C3),ok,-1.9979,-0.7163000000000466,0.797892413334921,0.8374106721312273,0.6964000000007218,-3.040200000000368
IMZW64_WAT56,64,0,56,CH...O(C3),CH...O,H7...O,3.3531799479638726,124.96580287452433,C3-H7-O,CH...O(C3),ok,-1.9577,-1.773800000000847,-0.9107775606389623,-0.895093214843655,-1.5776999999998225,-2.2782999999999447
