variant,N,RMSE,diff_mean,diff_std,pearson_r,slope,intercept
baseline,65,0.4954194090379602,-0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,-0.47706348856124503
slope,65,0.5867486261402087,-0.5148858852111585,0.2835550240557205,0.9917102724949942,1.0000000765860246,-0.5148857143325118
