structure,n_imzw,variant,n_wat,contact_class,contact_type,contact_detail,contact_distance_A,contact_angle_deg,contact_angle_atoms,contact_matched,contact_status,run8|BSSE=no,run102|BSSE=no,run102|BSSE=yes,run110|BSSE=no,optimized|BSSE=no,optimized_minus_ref
IMZW1_1_WAT1,1,1,1,OH...N3,OH...N3,H1...N3,1.8532007123293472,177.80268310828183,O-H1-N3,OH...N3;OH...pi(C3),ok,-5.278600000000552,-7.134638345247367,-7.090544614940882,-6.723500000000513,-5.432143380101638,1.6584012348392436
IMZW2_1_WAT1,2,1,1,OH...pi(C1),OH...pi,H1...C1,2.570446894668318,140.42154042529134,O-H1-C1,OH...pi(C1);OH...pi(C2);OH...pi(N9);OH...pi(C3);OH...pi(C3),ok,-3.6799999999993815,-3.7718970986024942,-3.7149982995179016,-3.680800000000545,-3.093262708961567,0.6217355905563346
IMZW2_1_WAT2,2,1,2,OH...N3,OH...N3,H1...N3,1.908995920684484,162.0719641111805,O-H1-N3,OH...N3;OH...pi(C3);OH...pi(N9),ok,-4.58639999999923,-5.902086645306554,-5.859500398568343,-6.39660000000049,-5.468501906539237,0.3909984920291061
IMZW3_1_WAT1,3,1,1,OH...N3,OH...N3,H1...N3,1.844911028539046,168.3329671580441,O-H1-N3,OH...N3;OH...pi(C1);OH...pi(C3);OH...pi(N9),ok,-4.819599999999809,-6.592548942193389,-6.5510450037545525,-6.465599999999995,-5.244268800594199,1.3067762031603536
IMZW3_1_WAT2,3,1,2,CH...O(C1),CH...O,H4...O,3.1678019150945977,106.19230141396636,C1-H4-O,CH...O(C1),ok,-1.2067999999990209,-1.350965693272883,-1.3331476696766913,-1.6017999999990025,-1.2809769442874084,0.05217072538928291
IMZW3_1_WAT3,3,1,3,OH...pi(C3),OH...pi,H1...C3,2.6052356015506546,153.68247453964423,O-H1-C3,OH...pi(C3);OH...pi(N9),ok,-3.016599999999926,-3.198866391321644,-3.144241372210672,-3.2637999999992644,-2.685143034468511,0.4590983377421609
IMZW4_1_WAT1,4,1,1,OH...pi(C2),OH...pi,H2...C2,2.6285234198730283,128.89416985150223,O-H2-C2,OH...pi(C2);OH...pi(C1);OH...pi(N9);OH...pi(C3);OH...pi(N9),ok,-2.564100000000508,-1.7208274366566911,-1.6638158365094569,-1.3426999999996951,-0.7433060563463726,0.9205097801630843
IMZW4_1_WAT2,4,1,2,CH...O(C3),CH...O,H7...O,3.1348298931401364,95.68080538345303,C3-H7-O,CH...O(C3);OH...pi(C3);OH...pi(N9),ok,-2.813799999998992,-1.841067840839969,-1.8168130258854944,-2.278999999999087,-1.5980901120237352,0.21872291386175924
IMZW4_1_WAT3,4,1,3,NH...O,NH...O,H6...O,2.040255321952132,143.06620610382845,N9-H6-O,NH...O;OH...pi(C3),ok,-3.781099999999242,-4.884432899707463,-4.839185817661928,-5.330599999999777,-5.750268532368032,-0.9110827147061036
IMZW4_1_WAT4,4,1,4,OH...pi(N9),OH...pi,H1...N9,3.070557307137745,100.85123309823848,O-H1-N9,OH...pi(N9);CH...O(C2),ok,0.0245000000004438,0.6261647764767986,0.6490371114923619,0.5650000000000546,0.9993599167167894,0.3503228052244275
IMZW5_1_WAT1,5,1,1,NH...O,NH...O,H6...O,1.9336300430496007,149.8937763830087,N9-H6-O,NH...O;OH...pi(C3);CH...O(C3),ok,-3.614999999998872,-3.9407091206521727,-3.875050291826483,-4.692499999999654,-5.2422552481933105,-1.3672049563668276
IMZW5_1_WAT2,5,1,2,OH...pi(C3),OH...pi,H1...C3,3.158527078055688,98.15414629662314,O-H1-C3,OH...pi(C3);CH...O(C3);OH...pi(N9);OH...pi(C3),ok,-2.873800000000301,-1.8273900695785412,-1.7952964444993995,-2.596299999999701,-2.243501490117096,-0.4482050456176965
IMZW5_1_WAT3,5,1,3,OH...pi(C2),OH...pi,H2...C2,2.605298947163261,148.5409919885516,O-H2-C2,OH...pi(C2);OH...pi(C1);OH...pi(N9);OH...pi(C3);OH...pi(C3),ok,-3.625199999999495,-3.5944459371676203,-3.532646345585817,-3.503799999999046,-2.8798521334141713,0.6527942121716457
IMZW5_1_WAT4,5,1,4,OH...N3,OH...N3,H1...N3,1.909166221635508,155.29811159148,O-H1-N3,OH...N3;OH...pi(C3);OH...pi(N9),ok,-4.10990000000038,-5.549042182770791,-5.49856867158087,-5.887199999999666,-4.887846054865593,0.6107226167152771
IMZW5_1_WAT5,5,1,5,CH...O(C3),CH...O,H7...O,2.8326759956384,126.88201965247414,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-2.1233000000002,-2.0945615158998407,-2.06423366110539,-2.420300000000225,-1.8859708764128844,0.17826278469250578
IMZW6_1_WAT1,6,1,1,OH...N3,OH...N3,H2...N3,2.0053116916549407,149.77156002021704,O-H2-N3,OH...N3;OH...pi(C3);OH...pi(N9),ok,-3.840299999998933,-5.354212393664056,-5.310838453762699,-5.550599999999122,-4.697431881765105,0.6134065719975936
IMZW6_1_WAT2,6,1,2,OH...pi(C1),OH...pi,H1...C1,2.464257763499184,146.90926550696025,O-H1-C1,OH...pi(C1);OH...pi(C2);OH...pi(N9);OH...pi(C3);OH...pi(C3),ok,-3.6341999999995096,-3.534291215444682,-3.4746711456100456,-3.3184000000005653,-2.6594527338494918,0.8152184117605539
IMZW6_1_WAT3,6,1,3,CH...O(C3),CH...O,H7...O,2.664041864751566,137.05749266382014,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-2.0608000000002,-1.5253482154221274,-1.5004914331366308,-1.97840000000042,-1.7447683180533382,-0.2442768849167074
IMZW6_1_WAT4,6,1,4,NH...O,NH...O,H6...O,1.9078685189776572,158.1872518348434,N9-H6-O,NH...O;OH...pi(C3),ok,-3.321899999999914,-3.270302219170844,-3.205808919563424,-3.962400000000798,-4.594225022060458,-1.3884161024970343
IMZW6_1_WAT5,6,1,5,CH...O(C3),CH...O,H7...O,2.940458845056669,111.9209409627408,C3-H7-O,CH...O(C3);OH...pi(C3);OH...pi(N9);OH...pi(N9),ok,-2.236200000000281,-1.286339615151519,-1.257300040422706,-1.6096000000002275,-0.922842917472057,0.3344571229506489
IMZW6_1_WAT6,6,1,6,OH...pi(N9),OH...pi,H2...N9,3.28763694681925,95.46009140195284,O-H2-N9,OH...pi(N9),ok,-2.9754000000002634,-2.149999996268889,-2.1245750574744307,-2.923699999999826,-2.600532669031935,-0.4759576115575044
IMZW7_1_WAT1,7,1,1,NH...O,NH...O,H6...O,1.885440563758508,170.10021349781798,N9-H6-O,NH...O,ok,-3.083599999999024,-3.0227635795308743,-2.964502679533325,-3.8287999999997737,-4.4768837624561435,-1.5123810829228184
IMZW7_1_WAT2,7,1,2,CH...O(C3),CH...O,H7...O,3.151879932663838,92.29413379670524,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-1.2943000000004758,-1.6115135882573668,-1.5877129225991666,-2.1839999999997417,-2.1424175577147984,-0.5547046351156317
IMZW7_1_WAT3,7,1,3,OH...N3,OH...N3,H2...N3,1.842089490785396,164.97658538838365,O-H2-N3,OH...N3;OH...pi(C3);OH...pi(N9),ok,-4.548700000000281,-5.840405374357943,-5.781631879450288,-5.80849999999964,-4.593038966403489,1.188592913046799
IMZW7_1_WAT4,7,1,4,CH...O(C3),CH...O,H7...O,3.061693172678151,111.27445013001314,C3-H7-O,CH...O(C3);OH...pi(C3);OH...pi(N9),ok,-2.138899999999012,-1.075824463070603,-1.0469666495919228,-1.4699000000005071,-0.905383470371435,0.1415831792204878
