structure,n_imzw,variant,n_wat,contact_class,contact_type,contact_detail,contact_distance_A,contact_angle_deg,contact_angle_atoms,contact_matched,contact_status,run8|BSSE=no,run102|BSSE=no,run102|BSSE=yes,run110|BSSE=no,optimized|BSSE=no,optimized_minus_ref
IMZW1_1_WAT1,1,1,1,OH...N3,OH...N3,H1...N3,1.8532007123293472,177.80268310828183,O-H1-N3,OH...N3;OH...pi(C3),ok,-5.278600000000552,-7.134638345247367,-7.090544614940882,-6.723500000000513,-6.918462885126104,0.17208172981477787
IMZW2_1_WAT1,2,1,1,OH...pi(C1),OH...pi,H1...C1,2.570446894668318,140.42154042529134,O-H1-C1,OH...pi(C1);OH...pi(C2);OH...pi(N9);OH...pi(C3);OH...pi(C3),ok,-3.6799999999993815,-3.7718970986024942,-3.7149982995179016,-3.680800000000545,-3.5279828865638896,0.18701541295401203
IMZW2_1_WAT2,2,1,2,OH...N3,OH...N3,H1...N3,1.908995920684484,162.0719641111805,O-H1-N3,OH...N3;OH...pi(C3);OH...pi(N9),ok,-4.58639999999923,-5.902086645306554,-5.859500398568343,-6.39660000000049,-6.564010330893485,-0.7045099323251414
IMZW3_1_WAT1,3,1,1,OH...N3,OH...N3,H1...N3,1.844911028539046,168.3329671580441,O-H1-N3,OH...N3;OH...pi(C1);OH...pi(C3);OH...pi(N9),ok,-4.819599999999809,-6.592548942193389,-6.5510450037545525,-6.465599999999995,-6.686784065516926,-0.13573906176237394
IMZW3_1_WAT2,3,1,2,CH...O(C1),CH...O,H4...O,3.1678019150945977,106.19230141396636,C1-H4-O,CH...O(C1),ok,-1.2067999999990209,-1.350965693272883,-1.3331476696766913,-1.6017999999990025,-1.5383307532840071,-0.20518308360731585
IMZW3_1_WAT3,3,1,3,OH...pi(C3),OH...pi,H1...C3,2.6052356015506546,153.68247453964423,O-H1-C3,OH...pi(C3);OH...pi(N9),ok,-3.016599999999926,-3.198866391321644,-3.144241372210672,-3.2637999999992644,-3.352685479444625,-0.2084441072339529
IMZW4_1_WAT1,4,1,1,OH...pi(C2),OH...pi,H2...C2,2.6285234198730283,128.89416985150223,O-H2-C2,OH...pi(C2);OH...pi(C1);OH...pi(N9);OH...pi(C3);OH...pi(N9),ok,-2.564100000000508,-1.7208274366566911,-1.6638158365094569,-1.3426999999996951,-0.707761284194909,0.9560545523145478
IMZW4_1_WAT2,4,1,2,CH...O(C3),CH...O,H7...O,3.1348298931401364,95.68080538345303,C3-H7-O,CH...O(C3);OH...pi(C3);OH...pi(N9),ok,-2.813799999998992,-1.841067840839969,-1.8168130258854944,-2.278999999999087,-1.7236723907993743,0.09314063508612014
IMZW4_1_WAT3,4,1,3,NH...O,NH...O,H6...O,2.040255321952132,143.06620610382845,N9-H6-O,NH...O;OH...pi(C3),ok,-3.781099999999242,-4.884432899707463,-4.839185817661928,-5.330599999999777,-4.733932476346847,0.10525334131508135
IMZW4_1_WAT4,4,1,4,OH...pi(N9),OH...pi,H1...N9,3.070557307137745,100.85123309823848,O-H1-N9,OH...pi(N9);CH...O(C2),ok,0.0245000000004438,0.6261647764767986,0.6490371114923619,0.5650000000000546,0.5507652536381683,-0.09827185785419357
