Phase,Run,Method,BSSE,Complex_with_imh,Complex_without_imh,scan_value,E_with_imh,E_without_imh,dE_with_minus_without,dE_shifted_to_min
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.0,-1546174.6099,-429812.2352,-1116362.3747,2.793299999786541
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.1,-1546173.3836,-429813.6724,-1116359.7112,5.456799999810755
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.2,-1546171.6128,-429814.3597,-1116357.2531,7.914899999741465
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.5,-1546165.7155,-429814.7967,-1116350.9187999999,14.249199999962002
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,1.0,-1546156.8792,-429813.3451,-1116343.5341,21.633899999782443
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,1.5,-1546150.6728,-429811.9474,-1116338.7254,26.442599999718368
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,2.0,-1546146.5238,-429811.052,-1116335.4718,29.69619999988936
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,2.5,-1546143.6901,-429810.5342,-1116333.1559000001,32.012099999701604
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,3.0,-1546141.6938,-429810.2692,-1116331.4246,33.74339999980293
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,4.0,-1546139.0333,-429810.0061,-1116329.0272,36.14079999993555
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,5.0,-1546137.3488,-429809.8757,-1116327.4731,37.694899999769405
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,6.0,-1546136.1575,-429809.7848,-1116326.3727,38.795299999881536
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,7.0,-1546135.3481,-429809.7793,-1116325.5688,39.599199999822304
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,8.0,-1546134.6806,-429809.7316,-1116324.949,40.21899999980815
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,9.0,-1546134.2104,-429809.7221,-1116324.4882999999,40.679699999978766
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,-0.1,-24707.98,-22228.7046,-2479.2753999999986,0.0
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.0,-24706.9596,-22231.4699,-2475.4896999999983,3.785700000000361
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.1,-24705.419,-22233.4407,-2471.9783000000025,7.297099999996135
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.2,-24703.426,-22234.5732,-2468.8528000000006,10.422599999998056
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.5,-24696.1873,-22234.6709,-2461.5164000000004,17.758999999998196
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,1.0,-24687.791,-22232.758,-2455.0329999999994,24.24239999999918
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,1.5,-24684.026,-22231.8722,-2452.1538,27.12159999999858
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,2.0,-24681.903,-22231.4893,-2450.4136999999973,28.861700000001292
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,2.5,-24680.3821,-22231.236,-2449.146099999998,30.129300000000512
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,3.0,-24679.2593,-22231.0894,-2448.169900000001,31.105499999997846
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,4.0,-24677.712,-22230.9402,-2446.7717999999986,32.503600000000006
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,5.0,-24676.687,-22230.8423,-2445.8447000000015,33.43069999999716
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,6.0,-24675.9974,-22230.8106,-2445.1867999999995,34.08859999999913
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,7.0,-24675.5007,-22230.7952,-2444.7055,34.5698999999986
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,8.0,-24675.1288,-22230.7908,-2444.3379999999997,34.93739999999889
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,9.0,-24674.8336,-22230.7795,-2444.054100000001,35.22129999999743
SP_init,run0,MM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,-0.1,-325.6265,97.6494,-423.27590000000004,0.0
SP_init,run0,MM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.0,-325.8559,95.976,-421.8319,1.4440000000000168
SP_init,run0,MM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.1,-325.2277,95.307,-420.53470000000004,2.741199999999992
