Phase,Run,Method,BSSE,Complex_with_zn,Complex_without_zn,scan_value_with_zn,scan_value_without_zn_reversed,Zn_N_distance,Zn_N_distance_without_zn_reversed,E_with_zn,E_without_zn_reversed,dE_with_zn_minus_without_zn_reversed,dE_shifted_to_xmax
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,2.5,2.0,6.7597396641912875,6.259739664150032,-1546143.6901,-429811.052,-1116332.6381,-8.495100000174716
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,3.0,1.5,7.259739664223659,5.7597396641945195,-1546141.6938,-429811.9474,-1116329.7464,-5.603400000138208
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,4.0,1.0,8.259739664199834,5.259739664162147,-1546139.0333,-429813.3451,-1116325.6882,-1.545200000051409
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,5.0,0.5,9.259739664167125,4.759739664218344,-1546137.3488,-429814.7967,-1116322.5521,1.5908999999519438
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,6.0,0.2,10.259739664163893,4.459739664226648,-1546136.1575,-429814.3597,-1116321.7978,2.3451999998651445
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,7.0,0.1,11.259739664237522,4.359739664157584,-1546135.3481,-429813.6724,-1116321.6757,2.467299999902025
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,8.0,0.0,12.259739664204812,4.259739664185972,-1546134.6806,-429812.2352,-1116322.4454,1.69759999983944
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,9.0,-0.1,13.259739664180987,4.15973966421436,-1546134.2104,-429810.0674,-1116324.143,0.0
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,-0.1,9.0,4.15973966421436,13.259739664180987,-24707.98,-22230.7795,-2477.200499999999,-31.071499999998196
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.0,8.0,4.259739664185972,12.259739664204812,-24706.9596,-22230.7908,-2476.1687999999995,-30.03979999999865
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.1,7.0,4.359739664157584,11.259739664237522,-24705.419,-22230.7952,-2474.623800000001,-28.494800000000396
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.2,6.0,4.459739664226648,10.259739664163893,-24703.426,-22230.8106,-2472.6153999999988,-26.486399999997957
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.5,5.0,4.759739664218344,9.259739664167125,-24696.1873,-22230.8423,-2465.345000000001,-19.21600000000035
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,1.0,4.0,5.259739664162147,8.259739664199834,-24687.791,-22230.9402,-2456.8508,-10.721799999999348
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,1.5,3.0,5.7597396641945195,7.259739664223659,-24684.026,-22231.0894,-2452.936600000001,-6.807600000000093
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,2.0,2.5,6.259739664150032,6.7597396641912875,-24681.903,-22231.236,-2450.6669999999976,-4.537999999996828
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,2.5,2.0,6.7597396641912875,6.259739664150032,-24680.3821,-22231.4893,-2448.892799999998,-2.7637999999969907
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,3.0,1.5,7.259739664223659,5.7597396641945195,-24679.2593,-22231.8722,-2447.3871,-1.2580999999991036
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,4.0,1.0,8.259739664199834,5.259739664162147,-24677.712,-22232.758,-2444.953999999998,1.1750000000029104
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,5.0,0.5,9.259739664167125,4.759739664218344,-24676.687,-22234.6709,-2442.0161000000007,4.1129000000000815
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,6.0,0.2,10.259739664163893,4.459739664226648,-24675.9974,-22234.5732,-2441.4242000000013,4.704799999999523
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,7.0,0.1,11.259739664237522,4.359739664157584,-24675.5007,-22233.4407,-2442.0600000000013,4.068999999999505
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,8.0,0.0,12.259739664204812,4.259739664185972,-24675.1288,-22231.4699,-2443.6588999999985,2.470100000002276
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,9.0,-0.1,13.259739664180987,4.15973966421436,-24674.8336,-22228.7046,-2446.129000000001,0.0
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,-0.1,9.0,3.728295895876256,12.828295895797863,-24705.8353,-22133.5608,-2572.2744999999995,-40.47559999999794
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.0,8.0,3.828295895824202,11.82829589584589,-24706.4832,-22133.5895,-2572.8937000000005,-41.09479999999894
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.1,7.0,3.9282958957721466,10.828295895813906,-24705.9885,-22133.6558,-2572.332699999999,-40.53379999999743
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.2,6.0,4.028295895837491,9.828295895861935,-24704.7342,-22133.7477,-2570.986499999999,-39.187599999997474
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.5,5.0,4.328295895798726,8.828295895827024,-24699.0171,-22133.8746,-2565.1425000000017,-33.34360000000015
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,1.0,4.0,4.828295895859111,7.82829589579504,-24690.0684,-22134.1759,-2555.8925000000017,-24.09360000000015
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,1.5,3.0,5.328295895833635,6.828295895843068,-24684.0808,-22134.7244,-2549.3564000000006,-17.55749999999898
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,2.0,2.5,5.828295895808158,6.328295895785606,-24679.8582,-22135.1765,-2544.6816999999974,-12.882799999995768
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,2.5,2.0,6.328295895785606,5.828295895808158,-24676.6798,-22135.8615,-2540.8183000000026,-9.019400000001042
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,3.0,1.5,6.828295895843068,5.328295895833635,-24674.2559,-22136.7944,-2537.4615000000013,-5.662599999999657
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,4.0,1.0,7.82829589579504,4.828295895859111,-24670.8682,-22138.2538,-2532.614400000002,-0.8155000000006112
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,5.0,0.5,8.828295895827024,4.328295895798726,-24668.6582,-22139.9375,-2528.7207000000017,3.0781999999999243
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,6.0,0.2,9.828295895861935,4.028295895837491,-24667.174,-22139.3297,-2527.8443000000007,3.954600000000937
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,7.0,0.1,10.828295895813906,3.9282958957721466,-24666.0856,-22138.1402,-2527.945399999997,3.853500000004715
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,8.0,0.0,11.82829589584589,3.828295895824202,-24665.2639,-22136.1444,-2529.1195000000007,2.6794000000008964
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,9.0,-0.1,12.828295895797863,3.728295895876256,-24664.6464,-22132.8475,-2531.7989000000016,0.0
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,-0.1,9.0,3.728295895876256,12.828295895797863,-1546176.603,-429809.5641,-1116367.0388999998,-48.49999999976717
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.0,8.0,3.828295895824202,11.82829589584589,-1546177.0339,-429809.5774,-1116367.4564999999,-48.9175999998115
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.1,7.0,3.9282958957721466,10.828295895813906,-1546176.5593,-429809.6004,-1116366.9589,-48.419999999925494
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.2,6.0,4.028295895837491,9.828295895861935,-1546175.5391,-429809.6982,-1116365.8409,-47.30199999990873
