Phase,Run,Method,BSSE,Complex_with_zn,Complex_without_zn,scan_value,Zn_N_distance,E_with_zn,E_without_zn,dE_with_zn_minus_without_zn,dE_shifted_to_min,dE_shifted_to_max
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,4.0,8.259739664199834,-1546139.0333,-429810.0061,-1116329.0272,36.14079999993555,-4.538900000043213
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,5.0,9.259739664167125,-1546137.3488,-429809.8757,-1116327.4731,37.694899999769405,-2.9848000002093613
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,6.0,10.259739664163893,-1546136.1575,-429809.7848,-1116326.3727,38.795299999881536,-1.88440000009723
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,7.0,11.259739664237522,-1546135.3481,-429809.7793,-1116325.5688,39.599199999822304,-1.0805000001564622
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,8.0,12.259739664204812,-1546134.6806,-429809.7316,-1116324.949,40.21899999980815,-0.4607000001706183
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,9.0,13.259739664180987,-1546134.2104,-429809.7221,-1116324.4882999999,40.679699999978766,0.0
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,-0.1,4.15973966421436,-24707.98,-22228.7046,-2479.2753999999986,0.0,-35.22129999999743
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.0,4.259739664185972,-24706.9596,-22231.4699,-2475.4896999999983,3.785700000000361,-31.435599999997066
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.1,4.359739664157584,-24705.419,-22233.4407,-2471.9783000000025,7.297099999996135,-27.924200000001292
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.2,4.459739664226648,-24703.426,-22234.5732,-2468.8528000000006,10.422599999998056,-24.79869999999937
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.5,4.759739664218344,-24696.1873,-22234.6709,-2461.5164000000004,17.758999999998196,-17.46229999999923
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,1.0,5.259739664162147,-24687.791,-22232.758,-2455.0329999999994,24.24239999999918,-10.978899999998248
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,1.5,5.7597396641945195,-24684.026,-22231.8722,-2452.1538,27.12159999999858,-8.099699999998847
