run,scan_value,zn_n_distance,imh_total_charge,zn_charge,wat6_charge,zn_6wat_charge,output_path
run110,8.0,12.259739664204812,4.163336342344337e-17,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_8.0_full/detailed.out
run110,8.0,12.259739664204812,,0.80755569,1.1924443200000003,2.0000000100000004,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_8.0_full/detailed.out
run110,9.0,13.259739664180987,4.163336342344337e-17,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_9.0_full/detailed.out
run110,9.0,13.259739664180987,,0.80754667,1.1924533299999998,1.9999999999999998,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_9.0_full/detailed.out
run113,-0.1,4.15973966421436,-9.540979117872439e-18,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run113/1Zn_1ImH_6Wat_1Hbond_IMH_m0.1_full/detailed.out
run113,0.0,4.259739664185972,-5.204170427930421e-18,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run113/1Zn_1ImH_6Wat_1Hbond_full/detailed.out
run113,0.1,4.359739664157584,-9.999999960041972e-09,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run113/1Zn_1ImH_6Wat_1Hbond_IMH_0.1_full/detailed.out
run113,0.2,4.459739664226648,-9.999999932286396e-09,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run113/1Zn_1ImH_6Wat_1Hbond_IMH_0.2_full/detailed.out
run113,0.5,4.759739664218344,2.7755575615628914e-17,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run113/1Zn_1ImH_6Wat_1Hbond_IMH_0.5_full/detailed.out
run113,1.0,5.259739664162147,-1.0000000001675335e-08,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run113/1Zn_1ImH_6Wat_1Hbond_IMH_1.0_full/detailed.out
run113,1.5,5.7597396641945195,-6.245004513516506e-17,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run113/1Zn_1ImH_6Wat_1Hbond_IMH_1.5_full/detailed.out
run113,2.0,6.259739664150032,0.0,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run113/1Zn_1ImH_6Wat_1Hbond_IMH_2.0_full/detailed.out
run113,2.5,6.7597396641912875,1.9999999996411777e-08,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run113/1Zn_1ImH_6Wat_1Hbond_IMH_2.5_full/detailed.out
run113,3.0,7.259739664223659,1.0000000036369805e-08,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run113/1Zn_1ImH_6Wat_1Hbond_IMH_3.0_full/detailed.out
run113,4.0,8.259739664199834,1.3877787807814457e-17,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run113/1Zn_1ImH_6Wat_1Hbond_IMH_4.0_full/detailed.out
run113,5.0,9.259739664167125,-1.0000000001675335e-08,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run113/1Zn_1ImH_6Wat_1Hbond_IMH_5.0_full/detailed.out
run113,6.0,10.259739664163893,-1.0000000029430911e-08,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run113/1Zn_1ImH_6Wat_1Hbond_IMH_6.0_full/detailed.out
run113,7.0,11.259739664237522,-1.3877787807814457e-17,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run113/1Zn_1ImH_6Wat_1Hbond_IMH_7.0_full/detailed.out
run113,8.0,12.259739664204812,0.0,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run113/1Zn_1ImH_6Wat_1Hbond_IMH_8.0_full/detailed.out
run113,9.0,13.259739664180987,-1.0000000001675335e-08,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run113/1Zn_1ImH_6Wat_1Hbond_IMH_9.0_full/detailed.out
run115,-0.1,4.15973966421436,,0.80735656,1.19264343,1.99999999,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run115/1Zn_1ImH_6Wat_1Hbond_IMH_m0.1_full/detailed.out
run115,0.0,4.259739664185972,,0.80740494,1.19259507,2.00000001,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run115/1Zn_1ImH_6Wat_1Hbond_full/detailed.out
run115,0.1,4.359739664157584,,0.80744577,1.1925542199999999,1.9999999899999998,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run115/1Zn_1ImH_6Wat_1Hbond_IMH_0.1_full/detailed.out
run115,0.2,4.459739664226648,,0.807486,1.19251401,2.00000001,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run115/1Zn_1ImH_6Wat_1Hbond_IMH_0.2_full/detailed.out
run115,0.5,4.759739664218344,,0.80757661,1.1924234,2.00000001,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run115/1Zn_1ImH_6Wat_1Hbond_IMH_0.5_full/detailed.out
run115,1.0,5.259739664162147,,0.8076564,1.19234361,2.00000001,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run115/1Zn_1ImH_6Wat_1Hbond_IMH_1.0_full/detailed.out
run115,1.5,5.7597396641945195,,0.8076837,1.1923163,2.0,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run115/1Zn_1ImH_6Wat_1Hbond_IMH_1.5_full/detailed.out
run115,2.0,6.259739664150032,,0.80768407,1.19231592,1.99999999,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run115/1Zn_1ImH_6Wat_1Hbond_IMH_2.0_full/detailed.out
run115,2.5,6.7597396641912875,,0.80767309,1.19232688,1.99999997,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run115/1Zn_1ImH_6Wat_1Hbond_IMH_2.5_full/detailed.out
run115,3.0,7.259739664223659,,0.80765759,1.19234242,2.00000001,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run115/1Zn_1ImH_6Wat_1Hbond_IMH_3.0_full/detailed.out
run115,4.0,8.259739664199834,,0.80762613,1.1923738599999998,1.9999999899999998,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run115/1Zn_1ImH_6Wat_1Hbond_IMH_4.0_full/detailed.out
run115,5.0,9.259739664167125,,0.8075999,1.1924001,2.0,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run115/1Zn_1ImH_6Wat_1Hbond_IMH_5.0_full/detailed.out
run115,6.0,10.259739664163893,,0.80757986,1.19242015,2.00000001,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run115/1Zn_1ImH_6Wat_1Hbond_IMH_6.0_full/detailed.out
run115,7.0,11.259739664237522,,0.80756482,1.19243517,1.99999999,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run115/1Zn_1ImH_6Wat_1Hbond_IMH_7.0_full/detailed.out
run115,8.0,12.259739664204812,,0.80755354,1.1924464399999999,1.99999998,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run115/1Zn_1ImH_6Wat_1Hbond_IMH_8.0_full/detailed.out
run115,9.0,13.259739664180987,,0.80754501,1.19245498,1.99999999,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run115/1Zn_1ImH_6Wat_1Hbond_IMH_9.0_full/detailed.out
