structure,n_imzw,variant,n_wat,contact_class,contact_type,contact_detail,contact_distance_A,contact_angle_deg,contact_angle_atoms,contact_matched,contact_status,run8|BSSE=no,run102|BSSE=no,run102|BSSE=yes,run110|BSSE=no,optimized|BSSE=no,optimized_minus_ref
IMZW1_1_WAT1,1,1,1,OH...N3,OH...N3,H1...N3,1.8532007123293472,177.80268310828183,O-H1-N3,OH...N3;OH...pi(C3),ok,-5.278600000000552,-7.134638345247367,-7.090544614940882,-6.723500000000513,-6.441680057215828,0.6488645577250534
IMZW2_1_WAT1,2,1,1,OH...pi(C1),OH...pi,H1...C1,2.570446894668318,140.42154042529134,O-H1-C1,OH...pi(C1);OH...pi(C2);OH...pi(N9);OH...pi(C3);OH...pi(C3),ok,-3.6799999999993815,-3.7718970986024942,-3.7149982995179016,-3.680800000000545,-3.6574399108403797,0.05755838867752194
IMZW2_1_WAT2,2,1,2,OH...N3,OH...N3,H1...N3,1.908995920684484,162.0719641111805,O-H1-N3,OH...N3;OH...pi(C3);OH...pi(N9),ok,-4.58639999999923,-5.902086645306554,-5.859500398568343,-6.39660000000049,-6.13136695864586,-0.27186656007751697
IMZW3_1_WAT1,3,1,1,OH...N3,OH...N3,H1...N3,1.844911028539046,168.3329671580441,O-H1-N3,OH...N3;OH...pi(C1);OH...pi(C3);OH...pi(N9),ok,-4.819599999999809,-6.592548942193389,-6.5510450037545525,-6.465599999999995,-6.170804423068388,0.3802405806861646
IMZW3_1_WAT2,3,1,2,CH...O(C1),CH...O,H4...O,3.1678019150945977,106.19230141396636,C1-H4-O,CH...O(C1),ok,-1.2067999999990209,-1.350965693272883,-1.3331476696766913,-1.6017999999990025,-1.542071149006213,-0.2089234793295216
IMZW3_1_WAT3,3,1,3,OH...pi(C3),OH...pi,H1...C3,2.6052356015506546,153.68247453964423,O-H1-C3,OH...pi(C3);OH...pi(N9),ok,-3.016599999999926,-3.198866391321644,-3.144241372210672,-3.2637999999992644,-3.2522783160098094,-0.10803694379913731
IMZW4_1_WAT1,4,1,1,OH...pi(C2),OH...pi,H2...C2,2.6285234198730283,128.89416985150223,O-H2-C2,OH...pi(C2);OH...pi(C1);OH...pi(N9);OH...pi(C3);OH...pi(N9),ok,-2.564100000000508,-1.7208274366566911,-1.6638158365094569,-1.3426999999996951,-1.455164538150701,0.20865129835875584
IMZW4_1_WAT2,4,1,2,CH...O(C3),CH...O,H7...O,3.1348298931401364,95.68080538345303,C3-H7-O,CH...O(C3);OH...pi(C3);OH...pi(N9),ok,-2.813799999998992,-1.841067840839969,-1.8168130258854944,-2.278999999999087,-2.2138313989114935,-0.39701837302599907
IMZW4_1_WAT3,4,1,3,NH...O,NH...O,H6...O,2.040255321952132,143.06620610382845,N9-H6-O,NH...O;OH...pi(C3),ok,-3.781099999999242,-4.884432899707463,-4.839185817661928,-5.330599999999777,-4.843467706346742,-0.004281888684814383
IMZW4_1_WAT4,4,1,4,OH...pi(N9),OH...pi,H1...N9,3.070557307137745,100.85123309823848,O-H1-N9,OH...pi(N9);CH...O(C2),ok,0.0245000000004438,0.6261647764767986,0.6490371114923619,0.5650000000000546,0.5004901985910457,-0.14854691290131616
IMZW5_1_WAT1,5,1,1,NH...O,NH...O,H6...O,1.9336300430496007,149.8937763830087,N9-H6-O,NH...O;OH...pi(C3);CH...O(C3),ok,-3.614999999998872,-3.9407091206521727,-3.875050291826483,-4.692499999999654,-4.302885048944009,-0.42783475711752583
IMZW5_1_WAT2,5,1,2,OH...pi(C3),OH...pi,H1...C3,3.158527078055688,98.15414629662314,O-H1-C3,OH...pi(C3);CH...O(C3);OH...pi(N9);OH...pi(C3),ok,-2.873800000000301,-1.8273900695785412,-1.7952964444993995,-2.596299999999701,-2.5064625355218753,-0.7111660910224757
IMZW5_1_WAT3,5,1,3,OH...pi(C2),OH...pi,H2...C2,2.605298947163261,148.5409919885516,O-H2-C2,OH...pi(C2);OH...pi(C1);OH...pi(N9);OH...pi(C3);OH...pi(C3),ok,-3.625199999999495,-3.5944459371676203,-3.532646345585817,-3.503799999999046,-3.4744744006999175,0.058171944885899496
IMZW5_1_WAT4,5,1,4,OH...N3,OH...N3,H1...N3,1.909166221635508,155.29811159148,O-H1-N3,OH...N3;OH...pi(C3);OH...pi(N9),ok,-4.10990000000038,-5.549042182770791,-5.49856867158087,-5.887199999999666,-5.602552864924115,-0.10398419334324505
IMZW5_1_WAT5,5,1,5,CH...O(C3),CH...O,H7...O,2.8326759956384,126.88201965247414,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-2.1233000000002,-2.0945615158998407,-2.06423366110539,-2.420300000000225,-2.319281102978874,-0.2550474418734838
IMZW6_1_WAT1,6,1,1,OH...N3,OH...N3,H2...N3,2.0053116916549407,149.77156002021704,O-H2-N3,OH...N3;OH...pi(C3);OH...pi(N9),ok,-3.840299999998933,-5.354212393664056,-5.310838453762699,-5.550599999999122,-5.290241713437435,0.020596740325263596
IMZW6_1_WAT2,6,1,2,OH...pi(C1),OH...pi,H1...C1,2.464257763499184,146.90926550696025,O-H1-C1,OH...pi(C1);OH...pi(C2);OH...pi(N9);OH...pi(C3);OH...pi(C3),ok,-3.6341999999995096,-3.534291215444682,-3.4746711456100456,-3.3184000000005653,-3.318767902110949,0.1559032434990968
IMZW6_1_WAT3,6,1,3,CH...O(C3),CH...O,H7...O,2.664041864751566,137.05749266382014,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-2.0608000000002,-1.5253482154221274,-1.5004914331366308,-1.97840000000042,-1.848406276766945,-0.3479148436303141
IMZW6_1_WAT4,6,1,4,NH...O,NH...O,H6...O,1.9078685189776572,158.1872518348434,N9-H6-O,NH...O;OH...pi(C3),ok,-3.321899999999914,-3.270302219170844,-3.205808919563424,-3.962400000000798,-3.6697727310403154,-0.4639638114768916
IMZW6_1_WAT5,6,1,5,CH...O(C3),CH...O,H7...O,2.940458845056669,111.9209409627408,C3-H7-O,CH...O(C3);OH...pi(C3);OH...pi(N9);OH...pi(N9),ok,-2.236200000000281,-1.286339615151519,-1.257300040422706,-1.6096000000002275,-1.5999108935130109,-0.3426108530903049
IMZW6_1_WAT6,6,1,6,OH...pi(N9),OH...pi,H2...N9,3.28763694681925,95.46009140195284,O-H2-N9,OH...pi(N9),ok,-2.9754000000002634,-2.149999996268889,-2.1245750574744307,-2.923699999999826,-2.75814165084266,-0.6335665933682293
IMZW7_1_WAT1,7,1,1,NH...O,NH...O,H6...O,1.885440563758508,170.10021349781798,N9-H6-O,NH...O,ok,-3.083599999999024,-3.0227635795308743,-2.964502679533325,-3.8287999999997737,-3.5459762187251886,-0.5814735391918635
IMZW7_1_WAT2,7,1,2,CH...O(C3),CH...O,H7...O,3.151879932663838,92.29413379670524,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-1.2943000000004758,-1.6115135882573668,-1.5877129225991666,-2.1839999999997417,-2.0536571583706165,-0.46594423577144983
IMZW7_1_WAT3,7,1,3,OH...N3,OH...N3,H2...N3,1.842089490785396,164.97658538838365,O-H2-N3,OH...N3;OH...pi(C3);OH...pi(N9),ok,-4.548700000000281,-5.840405374357943,-5.781631879450288,-5.80849999999964,-5.565258596359397,0.2163732830908911
IMZW7_1_WAT4,7,1,4,CH...O(C3),CH...O,H7...O,3.061693172678151,111.27445013001314,C3-H7-O,CH...O(C3);OH...pi(C3);OH...pi(N9),ok,-2.138899999999012,-1.075824463070603,-1.0469666495919228,-1.4699000000005071,-1.4582789304205037,-0.41131228082858096
IMZW7_1_WAT5,7,1,5,OH...pi(N9),OH...pi,H2...N9,3.219196380126724,97.06050490844288,O-H2-N9,OH...pi(N9),ok,-3.132699999999204,-2.398667102534091,-2.375585097150178,-3.1999000000000706,-3.0063764921625844,-0.6307913950124062
IMZW7_1_WAT6,7,1,6,OH...pi(C1),OH...pi,H2...C1,2.526980653743317,152.78202213358557,O-H2-C1,OH...pi(C1);OH...pi(C2);OH...pi(N9);OH...pi(C3);OH...pi(C3),ok,-3.740999999999076,-3.427591789251892,-3.3630167640803847,-3.3966999999997824,-3.399972397127426,-0.0369556330470413
IMZW7_1_WAT7,7,1,7,CH...O(C3),CH...O,H7...O,2.867199583066899,126.16216407440145,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-2.0664000000006126,-1.5607023056363687,-1.5324665272783022,-2.010600000000068,-1.884780239936654,-0.35231371265835176
IMZW8_1_WAT1,8,1,1,CH...O(C3),CH...O,H7...O,3.1270128107978707,111.70501671216958,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-0.7318999999997686,-0.4535121454391628,-0.4082415750599466,-0.7804000000000997,-0.751274359900556,-0.3430327848406094
IMZW8_1_WAT2,8,1,2,CH...O(C3),CH...O,H7...O,3.00695569122942,158.5508550839731,C3-H7-O,CH...O(C3),ok,-0.4286000000001877,0.3405680769064929,0.3565856685163453,0.4374999999995452,0.40145081755687617,0.04486514904053085
IMZW8_1_WAT3,8,1,3,CH...O(C3),CH...O,H7...O,2.793464771822441,111.25960562789872,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-1.3591999999998734,-1.0294744095008357,-0.9820416831062176,-1.8279999999999743,-1.732931606844795,-0.7508899237385774
IMZW8_1_WAT4,8,1,4,OH...pi(N9),OH...pi,H1...N9,3.0778106900369946,120.87615743740338,O-H1-N9,OH...pi(N9);CH...O(C3);OH...pi(C3);OH...pi(C3);OH...pi(N9),ok,-0.4229999999997744,0.9730185047374108,1.0002013956545852,1.093399999999292,0.9311753647740725,-0.06902603088051273
IMZW8_1_WAT5,8,1,5,NH...O,NH...O,H6...O,2.0202393510675907,137.6553932957754,N9-H6-O,NH...O;CH...O(C3);OH...pi(C3),ok,-3.349199999999655,-4.50763736985391,-4.445593608659692,-4.9661999999993895,-4.491515589116093,-0.04592198045640128
IMZW8_1_WAT6,8,1,6,CH...O(C3),CH...O,H7...O,2.67974929301586,138.8540480822812,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-1.3862999999992098,-1.0461236722185276,-1.0061392222123686,-1.600699999999506,-1.5598397700246494,-0.5537005478122807
IMZW8_1_WAT7,8,1,7,noHbond-close(HH-H7),noHbond-close,H1...H7,2.9674853778824253,,,noHbond-close(HH-H7),ok,-0.2257999999992535,-0.638550930598285,-0.6142453977954574,-0.8490999999999076,-0.8225283116842427,-0.20828291388878528
IMZW8_1_WAT8,8,1,8,OH...N3,OH...N3,H2...N3,1.8143927835873908,159.4323172182269,O-H2-N3,OH...N3;OH...pi(C3);CH...O(C3);OH...pi(N9),ok,-4.510799999999108,-6.89581606068532,-6.852989304636139,-6.43559999999934,-6.053032252708251,0.7999570519278887
IMZW9_1_WAT1,9,1,1,CH...O(C3),CH...O,H7...O,3.2636759055901985,149.90620253062946,C3-H7-O,CH...O(C3),ok,-0.7524999999995998,0.1659524105198215,0.1917670125840231,-0.2025999999991654,-0.2209811008456629,-0.412748113429686
IMZW9_1_WAT2,9,1,2,CH...O(C3),CH...O,H7...O,2.71588409482695,119.98719214026694,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-1.935099999999693,-1.5928895532269962,-1.5675998182559852,-2.5810000000005857,-2.397082363113032,-0.8294825448570466
IMZW9_1_WAT3,9,1,3,OH...pi(C3),OH...pi,H1...C3,2.870598909038669,109.24628327196292,O-H1-C3,OH...pi(C3);OH...pi(C3);OH...pi(N9);OH...pi(N9),ok,-2.17489999999907,-0.2101981819723732,-0.1512302871269639,-0.3236999999994623,-0.45361800191996937,-0.30238771479300547
IMZW9_1_WAT4,9,1,4,NH...O,NH...O,H6...O,1.9383797394122757,155.4210585188156,N9-H6-O,NH...O;OH...pi(C3);CH...O(C3),ok,-3.081299999998919,-3.0883840593742207,-3.0261837954749358,-3.65920000000051,-3.4267052419859696,-0.40052144651103383
IMZW9_1_WAT5,9,1,5,OH...N3,OH...N3,H1...N3,1.8030635404491435,160.18418617302032,O-H1-N3,OH...N3;OH...pi(C3);CH...O(C3);OH...pi(N9),ok,-4.492999999999483,-6.679025069606723,-6.632741648762021,-6.309200000000146,-5.938528465443331,0.6942131833186904
IMZW9_1_WAT6,9,1,6,CH...O(C3),CH...O,H7...O,3.2843862377872064,109.2382258892338,C3-H7-O,CH...O(C3);OH...pi(C3);OH...pi(C3),ok,-1.9672999999993408,-2.04584671423072,-2.023824719770346,-2.2922999999996136,-2.174900209133286,-0.15107548936294002
IMZW9_1_WAT7,9,1,7,CH...O(C3),CH...O,H7...O,2.746250390465152,133.77637861551435,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-1.760799999999108,-1.7096172466117423,-1.6784349529771134,-2.1418999999991684,-2.0753309590988485,-0.39689600612173503
IMZW9_1_WAT8,9,1,8,noHbond-close(HH-H7),noHbond-close,H1...H7,3.3430110710930947,,,noHbond-close(HH-H7),ok,-0.9405999999989944,-0.257492092641769,-0.2472369826864451,-0.8017999999997301,-0.7407015782741903,-0.49346459558774514
IMZW9_1_WAT9,9,1,9,CH...O(C3),CH...O,H7...O,3.1819579286492776,103.20455263456472,C3-H7-O,CH...O(C3),ok,-1.2943999999997686,-0.8243260378367268,-0.8024659333168529,-1.5736000000001695,-1.4686345937698289,-0.666168660452976
IMZW10_1_WAT1,10,1,1,CH...O(C3),CH...O,H7...O,2.8713002930606195,121.70516090673252,C3-H7-O,CH...O(C3);OH...pi(C3);OH...pi(C3),ok,-1.8350000000000364,-1.700991038873326,-1.6550008312624414,-1.7693999999996777,-1.6859304569761613,-0.030929625713719933
IMZW10_1_WAT2,10,1,2,CH...O(C3),CH...O,H7...O,2.6218118959736603,173.07365207299696,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-1.4733000000005632,-0.982603388139978,-0.941570890659932,-1.400399999999081,-1.3301370404998887,-0.38856614983995663
IMZW10_1_WAT3,10,1,3,noHbond-close(H-N3),noHbond-close,H2...N3,3.407442312649622,,,noHbond-close(H-N3),ok,-0.7998999999990701,-0.720094784599496,-0.7017840474727564,-0.9357999999997446,-0.8735475302163642,-0.17176348274360786
IMZW10_1_WAT4,10,1,4,OH...N3,OH...N3,H2...N3,1.7931735476935855,164.18443536227193,O-H2-N3,OH...N3;OH...pi(C3);OH...pi(N9),ok,-4.635499999999411,-6.480966827104567,-6.437108650046866,-6.149599999999282,-5.816875148986014,0.6202335010608522
IMZW10_1_WAT5,10,1,5,NH...O,NH...O,H6...O,1.843424201221466,167.04225091343233,N9-H6-O,NH...O;OH...pi(C3),ok,-2.989300000000185,-3.6688397261314094,-3.6087851047341246,-4.381200000000263,-3.9930824293310705,-0.3842973245969459
IMZW10_1_WAT6,10,1,6,OH...pi(C1),OH...pi,H2...C1,2.426489833205365,155.43253718726578,O-H2-C1,OH...pi(C1);OH...pi(C2);OH...pi(N9);OH...pi(C3),ok,-3.2730000000001382,-3.195663582941052,-3.12829907858395,-3.158500000000004,-3.1256096928316834,0.0026893857522667375
IMZW10_1_WAT7,10,1,7,far,far,H2...H7,5.576889129510556,,,far,ok,-0.8874999999998181,-0.0172714276995975,-0.0028991810104344,-0.4686000000006061,-0.45489906251136997,-0.45199988150093556
IMZW10_1_WAT8,10,1,8,far,far,H1...H7,4.5379558287780855,,,far,ok,-0.4677000000001499,0.5558460673491936,0.5603553811670281,0.0662999999999556,0.06821975522405922,-0.4921356259429689
IMZW10_1_WAT9,10,1,9,OH...pi(C3),OH...pi,H2...C3,3.0078747633776244,100.0898819043008,O-H2-C3,OH...pi(C3);CH...O(C3);OH...pi(N9),ok,-2.8103999999993903,-1.5933321237389464,-1.5699375307594892,-1.9758999999999105,-1.9310069803628085,-0.3610694496033193
IMZW10_1_WAT10,10,1,10,CH...O(C3),CH...O,H7...O,2.923520201505199,124.66214308293668,C3-H7-O,CH...O(C3);OH...pi(C3);OH...pi(C3);OH...pi(N9),ok,-2.108400000000074,-1.0487951538525522,-1.0042522083385848,-1.5703999999991538,-1.5271780274011013,-0.5229258190625166
